object_id,line1,line2,source
FY1C_523,1 30453U 99025AFQ 26124.68496927  .00003238  00000+0  12896-2 0  9999,2 30453  98.7980 201.9653 0115332 171.8247 341.4601 14.25719987992708,Fengyun-1C
FY1C_524,1 30454U 99025AFR 26124.85401330  .00003918  00000+0  17032-2 0  9995,2 30454  98.1369  87.8974 0168320 137.3181 254.0093 14.17272873979865,Fengyun-1C
FY1C_525,1 30462U 99025AFZ 26124.74550693  .00000027  00000+0  38869-4 0  9990,2 30462  98.8300 114.4423 0138942 208.2982 326.3524 14.06379640988035,Fengyun-1C
FY1C_526,1 30464U 99025AGB 26124.38427380  .00000131  00000+0  93216-4 0  9991,2 30464  98.8108 177.0563 0108630 215.0855 208.8554 14.10295978990743,Fengyun-1C
FY1C_527,1 30465U 99025AGC 26124.21851051  .00003669  00000+0  12919-2 0  9998,2 30465  98.8227 220.4917 0014476 331.3241  93.4271 14.35404270994019,Fengyun-1C
FY1C_528,1 30466U 99025AGD 26124.58620330  .00002080  00000+0  87684-3 0  9991,2 30466  98.6364 167.0721 0115263 330.2676 183.1930 14.23232068993823,Fengyun-1C
FY1C_529,1 30467U 99025AGE 26123.60653770  .00001605  00000+0  79034-3 0  9990,2 30467  98.6614 152.7497 0065534  80.8430  49.8748 14.17804899991872,Fengyun-1C
FY1C_530,1 30468U 99025AGF 26124.73059906  .00002407  00000+0  10874-2 0  9994,2 30468  98.9112 212.6050 0070554 349.8501 173.4654 14.21752937988411,Fengyun-1C
FY1C_531,1 30469U 99025AGG 26124.57499027  .00001640  00000+0  10811-2 0  9998,2 30469  98.4701 329.1965 0159801 130.5704 304.2886 13.96956789977009,Fengyun-1C
FY1C_532,1 30471U 99025AGJ 26124.72784162  .00002848  00000+0  14609-2 0  9995,2 30471  99.0474 219.1444 0082315 209.6941 304.7486 14.14492211984636,Fengyun-1C
FY1C_533,1 30472U 99025AGK 26124.27091963  .00007137  00000+0  15870-2 0  9993,2 30472  98.6522 235.4278 0035061   4.8534  24.2153 14.56921424  1095,Fengyun-1C
FY1C_534,1 30474U 99025AGM 26124.77231167  .00004999  00000+0  16049-2 0  9994,2 30474  98.9197 214.3423 0022486 298.6734 187.9226 14.39748037994501,Fengyun-1C
FY1C_535,1 30475U 99025AGN 26124.80375035  .00001340  00000+0  69442-3 0  9995,2 30475  98.7735 169.2850 0041652 239.9578 189.5172 14.16115476989760,Fengyun-1C
FY1C_536,1 30476U 99025AGP 26123.67731846  .00002268  00000+0  10424-2 0  9991,2 30476  99.1093 170.4787 0043956 253.1311 230.4291 14.21757484988616,Fengyun-1C
FY1C_537,1 30477U 99025AGQ 26124.66640602  .00001494  00000+0  22090-2 0  9993,2 30477  99.4171 199.4393 0426408 293.8055 225.6129 13.24153922926105,Fengyun-1C
FY1C_538,1 30480U 99025AGS 26124.32245399  .00000764  00000+0  24822-3 0  9999,2 30480  98.2172 137.1532 0166530  79.9161  44.3054 14.33853011  7110,Fengyun-1C
FY1C_539,1 30481U 99025AGT 26124.51545065  .00001104  00000+0  27639-3 0  9992,2 30481  98.3268 142.9828 0222356 190.1184 324.8549 14.39618597  5296,Fengyun-1C
FY1C_540,1 30489U 99025AHB 26124.79074347  .00000351  00000+0  18142-3 0  9992,2 30489  98.4619 137.6561 0139008 212.1858 329.0176 14.15992055994113,Fengyun-1C
FY1C_541,1 30492U 99025AHE 26124.47902063  .00015898  00000+0  33895-2 0  9999,2 30492 102.3230 213.3595 0089768  47.2221 313.6468 14.56562902989697,Fengyun-1C
FY1C_542,1 30493U 99025AHF 26124.46414897  .00001697  00000+0  11507-2 0  9990,2 30493  98.5780 309.5375 0181426 180.6862 199.1610 13.93751575970833,Fengyun-1C
FY1C_543,1 30494U 99025AHG 26124.52749627  .00001562  00000+0  13625-2 0  9994,2 30494  99.2640 162.0508 0185965 203.0303 156.2433 13.79800008964558,Fengyun-1C
FY1C_544,1 30495U 99025AHH 26123.06116258  .00002342  00000+0  38776-2 0  9992,2 30495 102.2588 233.8924 0588978 337.1617  20.4236 12.94873864905028,Fengyun-1C
FY1C_545,1 30496U 99025AHJ 26124.25082869  .00009047  00000+0  68061-3 0  9995,2 30496  98.7836  52.2572 0123113 355.5212   4.4894 14.96911034 32745,Fengyun-1C
FY1C_546,1 30498U 99025AHL 26124.60468455  .00002495  00000+0  14514-2 0  9998,2 30498  99.2272 183.6144 0103967 120.5633  37.9555 14.06882315977779,Fengyun-1C
FY1C_547,1 30500U 99025AHN 26123.98671914  .00004656  00000+0  18952-2 0  9999,2 30500  99.0686 225.4460 0063020  67.5219 350.7285 14.26907956987094,Fengyun-1C
FY1C_548,1 30501U 99025AHP 26123.94638736  .00003145  00000+0  13144-2 0  9991,2 30501  99.0904 124.9802 0042000 151.4814 275.4315 14.26406336989466,Fengyun-1C
FY1C_549,1 30503U 99025AHR 26124.52217148  .00000374  00000+0  21222-3 0  9996,2 30503  99.1941 337.7544 0008094 218.0341 203.4625 14.16285100993673,Fengyun-1C
FY1C_550,1 30504U 99025AHS 26124.65165630  .00000424  00000+0  20401-3 0  9993,2 30504  99.0024 178.6771 0112516 168.2793 192.1042 14.20827803994238,Fengyun-1C
FY1C_551,1 30505U 99025AHT 26124.79026338  .00003112  00000+0  13710-2 0  9991,2 30505  98.9151 211.1953 0064789 189.9472 299.3601 14.23018938989571,Fengyun-1C
FY1C_552,1 30506U 99025AHU 26124.68263647  .00000397  00000+0  24976-3 0  9995,2 30506  98.7574 130.6924 0069173 304.1115 110.2791 14.08814273988343,Fengyun-1C
FY1C_553,1 30507U 99025AHV 26124.47664861  .00001866  00000+0  93244-3 0  9992,2 30507  98.9970 194.9508 0128914 132.8196 353.8649 14.13775915985148,Fengyun-1C
FY1C_554,1 30509U 99025AHX 26124.13075850  .00002304  00000+0  12996-2 0  9993,2 30509  98.4605 352.2073 0102746  19.8137 109.8939 14.08563511977266,Fengyun-1C
FY1C_555,1 30510U 99025AHY 26123.02063247  .00002093  00000+0  11004-2 0  9993,2 30510  99.2348 144.6442 0079831 129.8497 258.5779 14.13594610985705,Fengyun-1C
FY1C_556,1 30514U 99025AJC 26124.50947258  .00001830  00000+0  55777-3 0  9998,2 30514  98.3974 149.3042 0172644  29.3718 331.7038 14.34918946  2705,Fengyun-1C
FY1C_557,1 30515U 99025AJD 26124.38343965  .00001370  00000+0  75661-3 0  9993,2 30515  98.4954 348.3617 0495846  56.4997 357.6683 13.64339521952756,Fengyun-1C
FY1C_558,1 30516U 99025AJE 26124.80125881  .00005940  00000+0  17620-2 0  9993,2 30516  98.8586 239.2803 0008617 218.9212 292.7050 14.43659988997776,Fengyun-1C
FY1C_559,1 30520U 99025AJJ 26124.79572351  .00018974  00000+0  81164-3 0  9990,2 30520  98.7188 324.1981 0059329 339.7796  20.1087 15.21273595 32118,Fengyun-1C
FY1C_560,1 30521U 99025AJK 26124.83860259  .00003581  00000+0  67899-3 0  9990,2 30521  99.0083 276.9389 0134441 167.9968 192.4487 14.59316507 16664,Fengyun-1C
FY1C_561,1 30523U 99025AJM 26124.22828029  .00000838  00000+0  25905-3 0  9998,2 30523  98.4844 103.5442 0243338  49.5478 327.9574 14.28201898  1349,Fengyun-1C
FY1C_562,1 30524U 99025AJN 26122.76421919  .00006226  00000+0  40071-2 0  9990,2 30524  99.3162 300.8882 0201163 227.6290 130.7688 13.94018478958499,Fengyun-1C
FY1C_563,1 30525U 99025AJP 26124.59194468  .00001135  00000+0  12093-2 0  9997,2 30525  98.5946 357.3632 0291340 296.3912  60.7596 13.59059615950571,Fengyun-1C
FY1C_564,1 30526U 99025AJQ 26124.71021995  .00001326  00000+0  16150-2 0  9996,2 30526  99.5351 206.1680 0303827 266.5657  90.0686 13.50093415945876,Fengyun-1C
FY1C_565,1 30527U 99025AJR 26123.62338887  .00001207  00000+0  16499-2 0  9991,2 30527 100.0462 169.1096 0409387 248.5977 268.2025 13.31344511932440,Fengyun-1C
FY1C_566,1 30528U 99025AJS 26124.41651913  .00000532  00000+0  27331-3 0  9996,2 30528  98.2199 347.7660 0144053 173.3359 312.8779 14.13707928991535,Fengyun-1C
FY1C_567,1 30529U 99025AJT 26123.21881419  .00001187  00000+0  11189-2 0  9990,2 30529  98.4875  33.9722 0228423 203.0674 156.0092 13.72019442959482,Fengyun-1C
FY1C_568,1 30530U 99025AJU 26124.57795544  .00000661  00000+0  22432-3 0  9995,2 30530  98.3741 164.3287 0100267  70.5314  81.4841 14.37013774  8373,Fengyun-1C
FY1C_569,1 30531U 99025AJV 26124.66074051  .00017483  00000+0  30674-2 0  9995,2 30531 102.3088  25.9748 0023577 169.9842 190.1821 14.67671002997881,Fengyun-1C
FY1C_570,1 30533U 99025AJX 26124.34354895  .00010664  00000+0  22436-2 0  9990,2 30533  98.8414 266.4716 0076181  76.1693 314.7980 14.57900702998965,Fengyun-1C
FY1C_571,1 30539U 99025AKD 26124.52856389  .00001361  00000+0  29390-3 0  9992,2 30539  98.8930 119.1939 0114644 201.1043 158.5403 14.56199085 14215,Fengyun-1C
FY1C_572,1 30540U 99025AKE 26124.82235149  .00004033  00000+0  14435-2 0  9994,2 30540  98.8816 241.7448 0049808   3.0746 148.1963 14.33889767993350,Fengyun-1C
FY1C_573,1 30541U 99025AKF 26124.07686911  .00002015  00000+0  90012-3 0  9993,2 30541  98.6769 173.7952 0017141  39.2788 320.9631 14.23708961993528,Fengyun-1C
FY1C_574,1 30542U 99025AKG 26124.57746199 -.00000014  00000+0  17089-4 0  9996,2 30542  98.7686 154.1864 0026848 291.2240 200.3921 14.07049981989272,Fengyun-1C
FY1C_575,1 30543U 99025AKH 26124.53223685  .00000213  00000+0  15856-3 0  9992,2 30543  98.8299 135.0674 0071763 354.9404 134.7909 14.03854583985085,Fengyun-1C
FY1C_576,1 30545U 99025AKK 26121.80561136  .00000247  00000+0  38359-3 0  9997,2 30545  98.9916 319.7419 0472503  31.6178 331.2430 13.20883140927792,Fengyun-1C
FY1C_577,1 30546U 99025AKL 26124.19519962  .00006769  00000+0  66366-3 0  9997,2 30546  98.8934   2.7020 0089708  67.7695  60.1201 14.89621399 25766,Fengyun-1C
FY1C_578,1 30547U 99025AKM 26124.57571325  .00000553  00000+0  18889-3 0  9993,2 30547  98.8917 337.6422 0095905 155.7335 230.9912 14.37971849  7733,Fengyun-1C
FY1C_579,1 30548U 99025AKN 26124.24405345  .00003296  00000+0  13136-2 0  9992,2 30548  99.6790  41.9303 0065273 293.0408 220.6924 14.28218410161285,Fengyun-1C
FY1C_580,1 30549U 99025AKP 26124.26473957  .00002992  00000+0  14570-2 0  9994,2 30549  98.4887 239.4478 0285159 216.9509 141.1713 13.99771809972871,Fengyun-1C
FY1C_581,1 30550U 99025AKQ 26124.46812891  .00002963  00000+0  17879-2 0  9995,2 30550  99.0514  24.0241 0126896 261.5780 275.1667 14.03497669973964,Fengyun-1C
FY1C_582,1 30552U 99025AKS 26124.85343561  .00013501  00000+0  28799-2 0  9996,2 30552  98.8418 270.1300 0015330 177.1365 182.9923 14.58950701997368,Fengyun-1C
FY1C_583,1 30553U 99025AKT 26124.77891498  .00019875  00000+0  26876-2 0  9999,2 30553  99.1280 242.9560 0016909  65.9066 294.3909 14.78964692  5706,Fengyun-1C
FY1C_584,1 30555U 99025AKV 26124.63241166  .00002268  00000+0  10445-2 0  9990,2 30555  98.7396 181.8473 0042426 218.1051 295.8438 14.21610379989650,Fengyun-1C
FY1C_585,1 30556U 99025AKW 26124.47659242  .00000077  00000+0  77232-4 0  9996,2 30556  98.7940 117.4732 0067679 200.5475 311.6324 14.01554357982566,Fengyun-1C
